Date,AAPL,IBM
2019-01-06,146.5,113.27
2019-01-13,150.49,117.27
2019-01-20,154.96,119.55
2019-01-27,155.89,129.35
2019-02-03,164.55,129.47
2019-02-10,169.11,130.6
2019-02-17,169.12,134.82
2019-02-24,171.65,136.01
2019-03-03,173.64,135.96
2019-03-10,171.59,131.95
2019-03-17,184.7,136.19
2019-03-24,189.6,136.21
2019-03-31,188.51,137.82
2019-04-07,195.5,139.95
2019-04-14,197.36,140.99
2019-04-21,202.31,137.07
2019-04-28,202.75,136.2
2019-05-05,210.14,136.99
2019-05-12,196.43,133.74
2019-05-19,188.28,132.76
2019-05-26,178.29,130.74
2019-06-02,174.41,125.51
2019-06-09,189.43,131.76
2019-06-16,192.01,133.58
2019-06-23,198.03,137.58
2019-06-30,197.17,136.29
2019-07-07,203.46,139.73
2019-07-14,202.53,141.08
2019-07-21,201.82,147.94
2019-07-28,206.95,149.6
2019-08-04,212.23,146.51
